id,state_or_ut,scope,scheme_name,tag,ministry,benefit,annual,application_url,application_type,relevance_tier,source_file
arunachal_st_welfare,Arunachal Pradesh,state,Arunachal Pradesh Scheduled Tribe Welfare & Scholarship Schemes,tribal; st; scholarship; cultural welfare,Arunachal Pradesh Welfare of ST & BC Dept. / Tribal Research Institute (TRI),"Arunachal Pradesh has over 26 major tribes (Adi, Nyishi, Galo, Apatani, Monpa, Wancho, Nocte, Tangsa, Idu Mishmi, Tagin, and others) — this cluster of schemes covers: (1) Pre-Matric Scholarship: ₹500–₹1,100 per month for ST students in Classes 9–10 studying in government or aided schools; (2) Post-Matric Scholarship: ₹750–₹1,500 per month for ST students in Class 11 through post-graduation; (3) Free Residential Gurukul / Tribal Hostels: hostel accommodation at district headquarters with free boarding, lodging, and study material for ST students studying away from home; (4) Cultural Preservation Grant: ₹5,000–₹10,000 per registered tribal cultural group for organising tribe-specific festivals, craft exhibitions, and language preservation activities; (5) Artisan Support: ₹4,000 annual tool kit grant for registered tribal artisans (weavers, cane-bamboo craftsmen, wood carvers); (6) Overseas Scholarship: full scholarship for meritorious ST students for higher education abroad; (7) PRC-based priority in all state government jobs and educational institutions",18000,arunachalpradesh.gov.in/tribal / District Welfare Officer (offline),District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/arunachal_pradesh.js
arunachal_horticulture_mission,Arunachal Pradesh,state,Arunachal Pradesh State Horticulture Mission — Farmer Support,farmer; horticulture; kiwi-apple-cardamom,Arunachal Pradesh Horticulture Dept. / State Horticulture Mission (SHM),"Comprehensive horticulture development scheme leveraging Arunachal Pradesh's diverse agro-climatic zones for high-value fruit and spice cultivation — key benefits: 50–75% subsidy on planting material for kiwi, apple, mandarin orange, pineapple, passion fruit, large cardamom, ginger, and turmeric (major cash crops of Arunachal); 60% subsidy on drip and sprinkler irrigation systems for hill terrace farms; polyhouse/greenhouse setup subsidy up to ₹56,000 per unit (60% of cost); free cold storage access at district level to reduce post-harvest losses; market linkage through NAFED and state-level horticulture cooperatives; training at Central Horticultural Experiment Station (CHES), Sangla; ₹7,500 per hectare incentive for maintaining certified orchard; special assistance for Apatani (Ziro Valley) wetland rice and pisciculture integrated farming system",7500,arunachalpradesh.gov.in/horticulture / District Horticulture Officer (offline),District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/arunachal_pradesh.js
assam_weaver_scheme,Assam,state,Assam Handloom Weavers' Development Scheme,weaver; artisan,"Assam Handloom, Textile & Sericulture Dept.","30% capital subsidy on loom upgrades (up to ₹30,000) + yarn subsidy (10% on purchase price) + free tool kit for traditional weavers of Mekhela Chador, Gamosa & Eri silk; cluster-based training and market linkage",30000,handloom.assam.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/assam.js
assam_mukhyamantri_atmanirbhar,Assam,state,Mukhyamantri Atmanirbhar Asom Abhiyan,youth; business,"Assam Skill, Employment & Entrepreneurship Dept.",₹2 Lakh interest-free loan + free skill training for unemployed youth,200000,https://www.govtschemes.in/mukhyamantri-atmanirbhar-asom-scheme,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/assam.js
assam_mmua,Assam,state,Mukhyamantri Mahila Udyamita Abhiyan (Assam),women; shg; entrepreneurship,Assam Panchayat & Rural Development Dept. (ASRLM),"₹10,000 seed capital (Phase 1) + ₹25,000 loan (Phase 2) + further support up to ₹85,000 total for women SHG members to become rural micro-entrepreneurs (Lakhpati Baideo)",85000,https://www.govtschemes.in/assam-mukhyamantri-mahila-udyamita-abhiyan,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/assam.js
assam_svayem,Assam,state,SVAYEM Scheme (Assam),youth; business,Assam Industries & Commerce Dept.,"Loan up to ₹2 lakh + seed money ₹50,000 for youth starting businesses in manufacturing, trade or services",200000,https://industriescom.assam.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/assam.js
assam_sarothi,Assam,state,Sarothi Start-Up Fund (Assam),startup; business,Assam Industries & Commerce Dept.,Seed capital + working capital funding for first-generation entrepreneurs and innovative startups in Assam,100000,https://industriescom.assam.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/assam.js
assam_swanirbhar_naari,Assam,state,Swanirbhar Naari Scheme (Assam),women; business,Assam Women & Child Dev. Dept.,"Interest-free loan up to ₹50,000 + training for women's self-employment",50000,https://www.myscheme.gov.in/schemes/naari,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/assam.js
assam_matsyadeep,Assam,state,Chief Minister's Matsyadeep Scheme (Assam),fishermen; subsidy,Assam Fisheries Dept.,"50% subsidy on motorised fishing boats, nets & equipment for traditional fishermen; up to ₹50,000 per beneficiary; promotes blue economy in Assam's rivers & wetlands",50000,fisheries.assam.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/assam.js
assam_jibika_sakhi,Assam,state,Jibika Sakhi Express Scheme (Assam),women; shg; rural,Assam State Rural Livelihood Mission (ASRLM),"Free scooter to women SHG community cadres (Krishi Sakhi, Pashu Sakhi, Bima Sakhi, Jibika Sakhi etc.) to travel rural areas and support self-help groups; over 10,900 scooters distributed so far",60000,asrlms.assam.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/assam.js
assam_lakhpati_baideo,Assam,state,Lakhpati Baideo Scheme (Assam),women; shg,Assam Panchayat & Rural Development Dept.,"₹35,000 financial assistance to women SHG members to start small businesses — targets 40 lakh women",35000,https://assamcmaaa.com/lakhpati-baideo-scheme,Online via Portal,B — livelihood/agri/capability,Yojana-Sahay-main/src/states/assam.js
assam_bakri_palan,Assam,state,Mukhyamantri Bakri Palan Yojana (Assam),farmer; animal husbandry,Assam Animal Husbandry & Veterinary Dept.,Free goat unit (2 female + 1 male) to BPL / SC / ST families for livelihood; includes veterinary support & insurance for one year,15000,ahvassam.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/assam.js
assam_dairy_incentive,Assam,state,Mukhyamantri Dugdha Utpadak Sahayata Yojana (Assam),farmer; dairy,Assam Animal Husbandry & Dairying Dept.,₹5/litre direct cash incentive (DBT) to dairy farmers for milk sold to registered cooperatives / collection centres; promotes white revolution in Assam,18000,ahvassam.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/assam.js
bihar_laghu_udyami,Bihar,state,Bihar Laghu Udyami Yojana (Bihar),bpl; micro enterprise,Bihar Industries Dept.,"₹2 lakh outright grant (no repayment) to one member of each BPL household to start a micro enterprise; covers 94 lakh poor families across Bihar; 3 installments of ₹25,000 / ₹50,000 / ₹1.25 lakh",200000,https://udyami.bihar.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/bihar.js
bihar_student_credit_card,Bihar,state,Bihar Student Credit Card Scheme (7 Nischay),student; education loan,Bihar Education Dept. / Bihar Student Credit Card Cell,"Education loan up to ₹4 lakh at 4% simple interest (1% for girls, disabled & transgender) for higher education after Class 12; no collateral; moratorium till 1 year after course completion; covers tuition, hostel, books, laptop",400000,https://www.myscheme.gov.in/schemes/bsccs,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/bihar.js
bihar_mahila_udyami,Bihar,state,Mukhyamantri Mahila Udyami Yojana (Bihar),women; entrepreneurship,Bihar Industries Dept. / Bihar Startup,₹10 lakh per woman entrepreneur: ₹5 lakh as outright grant (no repayment) + ₹5 lakh as interest-free loan repayable over 84 months; for starting a new manufacturing or service enterprise,500000,https://udyami.bihar.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/bihar.js
bihar_sc_st_udyami,Bihar,state,Mukhyamantri SC/ST Udyami Yojana (Bihar),sc; st; entrepreneurship,Bihar Industries Dept.,₹10 lakh per SC/ST entrepreneur: ₹5 lakh outright grant + ₹5 lakh interest-free loan (repayable over 84 months); for setting up a new manufacturing/service/trade enterprise,500000,https://udyami.bihar.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/bihar.js
bihar_yuva_udyami,Bihar,state,Mukhyamantri Yuva Udyami Yojana (Bihar),youth; entrepreneurship,Bihar Industries Dept.,₹10 lakh for General/OBC/EWS youth entrepreneurs (aged 18–50): ₹5 lakh grant + ₹5 lakh loan at 1% interest; for starting a new enterprise in manufacturing or service sector,500000,https://udyami.bihar.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/bihar.js
chandigarh_skill_development,Chandigarh,state,Chandigarh Skill Development Mission (CSDM),skill; employment; youth,Chandigarh UT Administration — Dept. of Technical Education & Industrial Training,"Free short-term skill training (3–6 months) in trades like electrician, plumbing, IT, beauty & wellness, retail, construction, hospitality, and healthcare for Chandigarh residents; training conducted at ITIs and empanelled training centres; placement assistance and job fairs organised post-training; stipend/allowance may be provided during training; certificates recognised by NCVT/NSDC",100000,"chandigarh.gov.in/skill or nearest ITI, Chandigarh",Online via Portal,C — capability/enabling,Yojana-Sahay-main/src/states/chandigarh.js
cg_msme_subsidy,Chhattisgarh,state,CG Industrial Policy MSME Capital Subsidy,business,Chhattisgarh Commerce & Industry Dept.,25–40% capital investment subsidy (up to ₹40 Lakh) + 5-year electricity duty exemption for new MSME units,400000,https://invest.cg.gov.in/policy-notifications,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/chhattisgarh.js
cg_startup_niti,Chhattisgarh,state,Chhattisgarh Startup Policy 2021,business,Chhattisgarh Commerce & Industry Dept.,₹25 Lakh seed fund + mentorship + co-working space + tax exemption for recognized CG startups,2500000,https://invest.cg.gov.in/startup/policy-guidelines,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/chhattisgarh.js
cg_mukhyamantri_hastshilp,Chhattisgarh,state,Mukhyamantri Hastshilp Protsahan Yojana,business,Chhattisgarh Handicraft & Handloom Dept.,"Artisans get tool kits worth ₹5,000, design training & marketing linkage with GI-tagged CG crafts",10000,cghandicraft.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/chhattisgarh.js
cg_yuva_mitan,Chhattisgarh,state,Mukhyamantri Yuva Swarojgar Yojana,business,Chhattisgarh Skill Development Dept.,Loan up to ₹2 Lakh at 5% interest for youth self-employment ventures,200000,cgstate.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/chhattisgarh.js
cg_shg_loan,Chhattisgarh,state,Bihan SHG Revolving Fund & Bank Linkage,women,Chhattisgarh Rural Livelihood Mission (Bihan),"₹10,000–₹15,000 revolving fund + bank loan linkage at 3% interest for women SHGs",15000,cgrlm.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/chhattisgarh.js
cg_eco_tourism,Chhattisgarh,state,CG Eco-Tourism Development Scheme,business,Chhattisgarh Forest Dept. / Tourism Board,Tribal & rural communities get training + infrastructure grants to run forest homestays & eco-camps,50000,cgtourism.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/chhattisgarh.js
cg_matsya_palan,Chhattisgarh,state,Mukhyamantri Matsya Palan Protsahan Yojana,farmer,Chhattisgarh Fisheries Dept.,"50% subsidy (up to ₹50,000) on pond construction, fish seed & equipment for fish farmers",50000,fisheries.cg.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/chhattisgarh.js
cg_pashu_bima,Chhattisgarh,state,Mukhyamantri Pashu Swasthya Evam Bima Yojana,farmer,Chhattisgarh Animal Husbandry Dept.,"Free veterinary treatment + livestock insurance up to ₹40,000/animal for cattle, goat & poultry",40000,ahvs.cg.gov.in,District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/chhattisgarh.js
delhi_kvib_artisan,Delhi,state,Artisan & Cottage Industry Support (DKVIB Delhi),livelihood,Delhi Khadi & Village Industries Board (DKVIB),"Subsidised loans, tools & training for artisans and home-based cottage workers",5000,dkvib.delhi.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_day_nulm,Delhi,state,DAY-NULM — Urban Poor SHG & Self-Employment (Delhi),employment,Delhi Urban Development Dept. (DAY-NULM / MoHUA),"Self-Help Group formation for urban poor women + revolving fund ₹10,000 per SHG + self-employment micro-loans up to ₹2 lakh + free skill training",10000,nulm.gov.in / urban.delhi.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_minority_loan,Delhi,state,DMFC Livelihood / Business Loan for Minorities (Delhi),livelihood,Delhi Minority Financial & Development Corporation (DMFC),Concessional business & self-employment loans up to ₹20 lakh at 6% interest for minority communities,2000000,minorities.delhi.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_dscstfdc_loan,Delhi,state,DSCSTFDC Business & Self-Employment Loan for SC/ST (Delhi),entrepreneurship,Delhi SC/ST/OBC/Minority Financial Development Corporation (DSCSTFDC),Concessional loans up to ₹15 lakh at 5–6% interest for SC/ST entrepreneurs & self-employed persons; ₹2 lakh micro-credit for SC/ST women at 4% interest; includes free entrepreneurship training at DSCSTFDC centres,1500000,"dscstfdc.delhi.gov.in / DSCSTFDC head office, New Delhi",District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_startup_policy,Delhi,state,Delhi Startup Policy — Seed Fund & Incubation Support,entrepreneurship,Delhi Innovation Bureau / DTIC,"Seed grants up to ₹50 lakh, free co-working space, mentorship & fast-track regulatory support for Delhi-based startups",5000000,https://seedfund.startupindia.gov.in,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_muva,Delhi,state,Mukhyamantri Yuva Udyami Vikas Abhiyan — MUVA (Delhi),entrepreneurship,Delhi Skill & Entrepreneurship University (DSEU),Zero-collateral business loans up to ₹25 lakh + mentorship for young entrepreneurs,2500000,https://dseu.ac.in/muva,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_obc_loan,Delhi,state,OBC Business & Self-Employment Loan (Delhi — DBCFDC),entrepreneurship,Delhi Backward Classes Financial Development Corporation (DBCFDC),Subsidised loans up to ₹5 lakh at 6% interest for OBC (Non-Creamy Layer) entrepreneurs & self-employed persons,500000,dbcfdc.delhi.gov.in,District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_svnidhi,Delhi,state,PM SVANidhi — Street Vendor Micro-Credit Scheme (Delhi),livelihood,Ministry of Housing & Urban Affairs — PM SVANidhi (Delhi MCD),"Collateral-free working capital loan ₹10,000 (1st), ₹20,000 (2nd), ₹50,000 (3rd tranche) at 7% interest; 7% interest subsidy via DBT; digital transactions rewarded up to ₹1,200/year cashback",10000,https://web.umang.gov.in/landing/scheme/detail/pm-street-vendors-atmanirbhar-nidhi-pm-svanidhi_pm-svanidhi.html,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_svnidhi_vendor,Delhi,state,PM SVANidhi — Street Vendor Working Capital Loan (Delhi),livelihood,Delhi Urban Development / South MCD,"Collateral-free loans of ₹10,000–₹50,000 at 7% interest with digital incentives for street vendors",10000,https://www.myscheme.gov.in/schemes/pm-svanidhi,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_pm_vishwakarma,Delhi,state,PM Vishwakarma Yojana (Delhi),livelihood,Ministry of MSME (implemented in Delhi via DIC),"Free skill training (5–15 days) + toolkit grant ₹15,000 + collateral-free loan ₹1–3 lakh at 5% for 18 traditional trades (blacksmith, carpenter, potter, tailor, weaver etc.)",15000,https://www.myscheme.gov.in/schemes/pmv,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_pmay_clss,Delhi,state,PMAY Urban — Credit-Linked Subsidy Scheme (CLSS) for EWS / LIG (Delhi),housing,Ministry of Housing & Urban Affairs (PMAY-U CLSS) / Delhi NHB-linked Banks,6.5% interest subsidy on home loans up to ₹6 lakh (EWS/LIG); NPV benefit of ~₹2.67 lakh; for first-time homebuyers in Delhi with household income up to ₹6 lakh/year,26700,https://pmay-urban.gov.in/credit-linked-subsidy-scheme,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
delhi_dsidc_sc_loan,Delhi,state,SC/ST Entrepreneur Loan Scheme (Delhi),entrepreneurship,Delhi SC/ST Development Corp. (DSCSTFDC),Subsidised loans up to ₹20 lakh at 4–6% interest for SC/ST entrepreneurs,2000000,https://www.myscheme.gov.in/schemes/sui,Online via Portal,A — direct enterprise/finance,Yojana-Sahay-main/src/states/delhi.js
